NodeID,NodeName,QualityAdjPower,Balance,RewardValue
f01727648,0,0,96459.47
f01831595,0,0,83169.62
f01845913,0,0,77113.8898
f01874748,0,0,60220.633
f02056257,9.89,75338.3733,32423.77
f02072241,10.06,72396.7057,26497.6
f02085743,10.11,74980.3371,31796.2
f01923405,0,255.6489,41639.32
f01904708,0,1.0216,14844.61
f02246008,49,331288.0436,92639.49
f02636860,27.69,185591.3328,44858.74
f02810687,22.87,152948.7215,34166.89
f02812504,10.02,67197.1818,16641.61
f02369773,0.1,55398.537,205.98
f02823562,10.04,67628.1734,14576.56
f02824533,22.67,152071.8503,31498.28
f02833198,10.12,67864.3493,14091.88
f02837094,21.48,143957.1276,28560.33
f02841613,17.52,116738.2337,20266.64
f03086293,15.35,119178.5713,9898.3805
f03136267,10.1,76924.6565,4640.5683
f03144077,9.03,62389.8609,3332.8303
f03231154,0.151,10089.975,0
